name,type_1,type_2,hp,attack,defense,speed,sp_attack,sp_defense,evs,moves,tutor_moves,catch_rate,happiness,abilities,hidden_abilities,height,weight,pokedex,generation,evolutions
Bulbasaur,GRASS,POISON,45,49,49,45,65,65,,"1,TACKLE,1,GROWL,3,VINEWHIP,6,GROWTH,9,LEECHSEED,12,RAZORLEAF,15,POISONPOWDER,15,SLEEPPOWDER,18,SEEDBOMB,21,TAKEDOWN,24,SWEETSCENT,27,SYNTHESIS,30,WORRYSEED,33,DOUBLEEDGE,36,SOLARBEAM","AMNESIA,ATTRACT,BIND,BODYSLAM,BULLETSEED,CAPTIVATE,CHARM,CONFIDE,CUT,DEFENSECURL,DOUBLEEDGE,DOUBLETEAM,ECHOEDVOICE,ENDURE,ENERGYBALL,FACADE,FALSESWIPE,FLASH,FRUSTRATION,FURYCUTTER,GIGADRAIN,GRASSKNOT,GRASSPLEDGE,GRASSYGLIDE,GRASSYTERRAIN,HEADBUTT,HELPINGHAND,HIDDENPOWER,KNOCKOFF,LEAFSTORM,LIGHTSCREEN,MAGICALLEAF,MIMIC,MUDSLAP,NATURALGIFT,NATUREPOWER,POWERWHIP,PROTECT,REST,RETURN,ROCKSMASH,ROUND,SAFEGUARD,SECRETPOWER,SEEDBOMB,SLEEPTALK,SLUDGEBOMB,SNORE,SOLARBEAM,STRENGTH,STRINGSHOT,SUBSTITUTE,SUNNYDAY,SWAGGER,SWORDSDANCE,SYNTHESIS,TOXIC,VENOSHOCK,WEATHERBALL,WORKUP,WORRYSEED",45,50,OVERGROW,CHLOROPHYLL,0.7,6.9,"Bulbasaur can be seen napping in bright sunlight. There is a seed on its back. By soaking up the sun's rays, the seed grows progressively larger.",1,"IVYSAUR,Level,16"
Ivysaur,GRASS,POISON,60,62,63,60,80,80,,"1,TACKLE,1,GROWL,1,VINEWHIP,1,GROWTH,9,LEECHSEED,12,RAZORLEAF,15,POISONPOWDER,15,SLEEPPOWDER,20,SEEDBOMB,25,TAKEDOWN,30,SWEETSCENT,35,SYNTHESIS,40,WORRYSEED,45,DOUBLEEDGE,50,SOLARBEAM","AMNESIA,ATTRACT,BIND,BODYSLAM,BULLETSEED,CAPTIVATE,CHARM,CONFIDE,CUT,DEFENSECURL,DOUBLEEDGE,DOUBLETEAM,ECHOEDVOICE,ENDURE,ENERGYBALL,FACADE,FALSESWIPE,FLASH,FRUSTRATION,FURYCUTTER,GIGADRAIN,GRASSKNOT,GRASSPLEDGE,GRASSYGLIDE,GRASSYTERRAIN,HEADBUTT,HELPINGHAND,HIDDENPOWER,KNOCKOFF,LEAFSTORM,LIGHTSCREEN,MAGICALLEAF,MIMIC,MUDSLAP,NATURALGIFT,NATUREPOWER,POWERWHIP,PROTECT,REST,RETURN,ROCKSMASH,ROUND,SAFEGUARD,SECRETPOWER,SEEDBOMB,SLEEPTALK,SLUDGEBOMB,SNORE,SOLARBEAM,STRENGTH,STRINGSHOT,SUBSTITUTE,SUNNYDAY,SWAGGER,SWORDSDANCE,SYNTHESIS,TOXIC,VENOSHOCK,WEATHERBALL,WORKUP,WORRYSEED",45,50,OVERGROW,CHLOROPHYLL,1.0,13.0,"To support its bulb, Ivysaur's legs grow sturdy. If it spends more time lying in the sunlight, the bud will soon bloom into a large flower.",1,"VENUSAUR,Level,32"
Venusaur,GRASS,POISON,80,82,83,80,100,100,,"0,PETALBLIZZARD,1,PETALDANCE,1,TACKLE,1,GROWL,1,VINEWHIP,1,GROWTH,9,LEECHSEED,12,RAZORLEAF,15,POISONPOWDER,15,SLEEPPOWDER,20,SEEDBOMB,25,TAKEDOWN,30,SWEETSCENT,37,SYNTHESIS,44,WORRYSEED,51,DOUBLEEDGE,58,SOLARBEAM","AMNESIA,ATTRACT,BIND,BLOCK,BODYSLAM,BULLDOZE,BULLETSEED,CAPTIVATE,CHARM,CONFIDE,CUT,DEFENSECURL,DOUBLEEDGE,DOUBLETEAM,EARTHPOWER,EARTHQUAKE,ECHOEDVOICE,ENDURE,ENERGYBALL,FACADE,FALSESWIPE,FLASH,FRENZYPLANT,FRUSTRATION,FURYCUTTER,GIGADRAIN,GIGAIMPACT,GRASSKNOT,GRASSPLEDGE,GRASSYGLIDE,GRASSYTERRAIN,HEADBUTT,HELPINGHAND,HIDDENPOWER,HYPERBEAM,KNOCKOFF,LEAFSTORM,LIGHTSCREEN,MAGICALLEAF,MIMIC,MUDSLAP,NATURALGIFT,NATUREPOWER,OUTRAGE,POWERWHIP,PROTECT,REST,RETURN,ROAR,ROCKCLIMB,ROCKSMASH,ROUND,SAFEGUARD,SECRETPOWER,SEEDBOMB,SLEEPTALK,SLUDGEBOMB,SNORE,SOLARBEAM,STOMPINGTANTRUM,STRENGTH,STRINGSHOT,SUBSTITUTE,SUNNYDAY,SWAGGER,SWORDSDANCE,SYNTHESIS,TERRAINPULSE,TOXIC,VENOSHOCK,WEATHERBALL,WORKUP,WORRYSEED",45,50,OVERGROW,CHLOROPHYLL,2.0,100.0,Venusaur's flower is said to take on vivid colors if it gets plenty of nutrition and sunlight. The flower's aroma soothes the emotions of people.,1,
Charmander,FIRE,,39,52,43,65,60,50,,"1,SCRATCH,1,GROWL,4,EMBER,8,SMOKESCREEN,12,DRAGONBREATH,17,FIREFANG,20,SLASH,24,FLAMETHROWER,28,SCARYFACE,32,FIRESPIN,36,INFERNO,40,FLAREBLITZ","ACROBATICS,AERIALACE,ATTRACT,BEATUP,BODYSLAM,BRICKBREAK,CAPTIVATE,CONFIDE,COUNTER,CRUNCH,CUT,DEFENSECURL,DIG,DOUBLEEDGE,DOUBLETEAM,DRAGONCLAW,DRAGONDANCE,DRAGONPULSE,DYNAMICPUNCH,ECHOEDVOICE,ENDURE,FACADE,FALSESWIPE,FIREBLAST,FIREFANG,FIREPLEDGE,FIREPUNCH,FIRESPIN,FLAMECHARGE,FLAMETHROWER,FLAREBLITZ,FLING,FOCUSPUNCH,FRUSTRATION,FURYCUTTER,HEADBUTT,HEATWAVE,HELPINGHAND,HIDDENPOWER,HONECLAWS,INCINERATE,IRONTAIL,MEGAKICK,MEGAPUNCH,MIMIC,MUDSLAP,NATURALGIFT,OUTRAGE,OVERHEAT,POWERUPPUNCH,PROTECT,REST,RETURN,ROCKSLIDE,ROCKSMASH,ROCKTOMB,ROUND,SCARYFACE,SECRETPOWER,SEISMICTOSS,SHADOWCLAW,SLEEPTALK,SNORE,STRENGTH,SUBSTITUTE,SUNNYDAY,SWAGGER,SWIFT,SWORDSDANCE,THUNDERPUNCH,WEATHERBALL,WILLOWISP,WORKUP",45,50,BLAZE,SOLARPOWER,0.6,8.5,"The flame that burns at the tip of its tail is an indication of its emotions. The flame wavers when Charmander is happy, and blazes when it is enraged.",1,"CHARMELEON,Level,16"
Charmeleon,FIRE,,58,64,58,80,80,65,,"1,SCRATCH,1,GROWL,1,EMBER,1,SMOKESCREEN,12,DRAGONBREATH,19,FIREFANG,24,SLASH,30,FLAMETHROWER,37,SCARYFACE,42,FIRESPIN,48,INFERNO,54,FLAREBLITZ","ACROBATICS,AERIALACE,ATTRACT,BEATUP,BODYSLAM,BRICKBREAK,CAPTIVATE,CONFIDE,COUNTER,CRUNCH,CUT,DEFENSECURL,DIG,DOUBLEEDGE,DOUBLETEAM,DRAGONCLAW,DRAGONDANCE,DRAGONPULSE,DYNAMICPUNCH,ECHOEDVOICE,ENDURE,FACADE,FALSESWIPE,FIREBLAST,FIREFANG,FIREPLEDGE,FIREPUNCH,FIRESPIN,FLAMECHARGE,FLAMETHROWER,FLAREBLITZ,FLING,FOCUSPUNCH,FRUSTRATION,FURYCUTTER,HEADBUTT,HEATWAVE,HELPINGHAND,HIDDENPOWER,HONECLAWS,INCINERATE,IRONTAIL,MEGAKICK,MEGAPUNCH,MIMIC,MUDSLAP,NATURALGIFT,OUTRAGE,OVERHEAT,POWERUPPUNCH,PROTECT,REST,RETURN,ROCKSLIDE,ROCKSMASH,ROCKTOMB,ROUND,SCARYFACE,SECRETPOWER,SEISMICTOSS,SHADOWCLAW,SLEEPTALK,SNORE,STRENGTH,SUBSTITUTE,SUNNYDAY,SWAGGER,SWIFT,SWORDSDANCE,THUNDERPUNCH,WEATHERBALL,WILLOWISP,WORKUP",45,50,BLAZE,SOLARPOWER,1.1,19.0,"Without pity, its sharp claws destroy foes. If it encounters a strong enemy, it becomes agitated, and the flame on its tail flares with a bluish white color.",1,"CHARIZARD,Level,36"
Charizard,FIRE,FLYING,78,84,78,100,109,85,,"0,AIRSLASH,1,DRAGONCLAW,1,HEATWAVE,1,SCRATCH,1,GROWL,1,EMBER,1,SMOKESCREEN,12,DRAGONBREATH,19,FIREFANG,24,SLASH,30,FLAMETHROWER,39,SCARYFACE,46,FIRESPIN,54,INFERNO,62,FLAREBLITZ","ACROBATICS,AERIALACE,AIRCUTTER,AIRSLASH,ATTRACT,BEATUP,BLASTBURN,BLAZEKICK,BODYSLAM,BREAKINGSWIPE,BRICKBREAK,BRUTALSWING,BULLDOZE,CAPTIVATE,CONFIDE,COUNTER,CRUNCH,CUT,DEFENSECURL,DIG,DOUBLEEDGE,DOUBLETEAM,DRAGONCLAW,DRAGONDANCE,DRAGONPULSE,DRAGONTAIL,DUALWINGBEAT,DYNAMICPUNCH,EARTHQUAKE,ECHOEDVOICE,ENDURE,FACADE,FALSESWIPE,FIREBLAST,FIREFANG,FIREPLEDGE,FIREPUNCH,FIRESPIN,FLAMECHARGE,FLAMETHROWER,FLAREBLITZ,FLING,FLY,FOCUSBLAST,FOCUSPUNCH,FRUSTRATION,FURYCUTTER,GIGAIMPACT,HEADBUTT,HEATCRASH,HEATWAVE,HELPINGHAND,HIDDENPOWER,HONECLAWS,HURRICANE,HYPERBEAM,INCINERATE,IRONTAIL,MEGAKICK,MEGAPUNCH,MIMIC,MUDSLAP,MYSTICALFIRE,NATURALGIFT,OMINOUSWIND,OUTRAGE,OVERHEAT,POWERUPPUNCH,PROTECT,REST,RETURN,ROAR,ROCKSLIDE,ROCKSMASH,ROCKTOMB,ROOST,ROUND,SCALESHOT,SCARYFACE,SCORCHINGSANDS,SECRETPOWER,SEISMICTOSS,SHADOWCLAW,SKYDROP,SLEEPTALK,SNORE,SOLARBEAM,STEELWING,STRENGTH,SUBSTITUTE,SUNNYDAY,SWAGGER,SWIFT,SWORDSDANCE,TAILWIND,THUNDERPUNCH,TWISTER,WEATHERBALL,WILLOWISP,WORKUP",45,50,BLAZE,SOLARPOWER,1.7,90.5,"A Charizard flies about in search of strong opponents. It breathes intense flames that can melt any material. However, it will never torch a weaker foe.",1,
Squirtle,WATER,,44,48,65,43,50,64,,"1,TACKLE,1,TAILWHIP,3,WATERGUN,6,WITHDRAW,9,RAPIDSPIN,12,BITE,15,WATERPULSE,18,PROTECT,21,RAINDANCE,24,AQUATAIL,27,SHELLSMASH,30,IRONDEFENSE,33,HYDROPUMP,36,SKULLBASH","AQUATAIL,ATTRACT,AURASPHERE,BLIZZARD,BODYSLAM,BRICKBREAK,BRINE,CAPTIVATE,CONFIDE,COUNTER,DEFENSECURL,DIG,DIVE,DOUBLEEDGE,DOUBLETEAM,DRAGONPULSE,DYNAMICPUNCH,ENDURE,FACADE,FALSESWIPE,FLING,FLIPTURN,FOCUSPUNCH,FRUSTRATION,GYROBALL,HAIL,HEADBUTT,HELPINGHAND,HIDDENPOWER,HYDROPUMP,ICEBEAM,ICEPUNCH,ICYWIND,IRONDEFENSE,IRONTAIL,MEGAKICK,MEGAPUNCH,MIMIC,MUDDYWATER,MUDSLAP,NATURALGIFT,POWERUPPUNCH,PROTECT,RAINDANCE,REST,RETURN,ROCKSMASH,ROCKTOMB,ROLLOUT,ROUND,SCALD,SECRETPOWER,SEISMICTOSS,SLEEPTALK,SNORE,STRENGTH,SUBSTITUTE,SURF,SWAGGER,WATERFALL,WATERPLEDGE,WATERPULSE,WEATHERBALL,WHIRLPOOL,WORKUP,ZENHEADBUTT",45,50,TORRENT,RAINDISH,0.5,9.0,"Its shell is not just for protection. Its rounded shape and the grooves on its surface minimize resistance in water, enabling Squirtle to swim at high speeds.",1,"WARTORTLE,Level,16"
Wartortle,WATER,,59,63,80,58,65,80,,"1,TACKLE,1,TAILWHIP,1,WATERGUN,1,WITHDRAW,9,RAPIDSPIN,12,BITE,15,WATERPULSE,20,PROTECT,25,RAINDANCE,30,AQUATAIL,35,SHELLSMASH,40,IRONDEFENSE,45,HYDROPUMP,50,SKULLBASH","AQUATAIL,ATTRACT,AURASPHERE,BLIZZARD,BODYSLAM,BRICKBREAK,BRINE,CAPTIVATE,CONFIDE,COUNTER,DEFENSECURL,DIG,DIVE,DOUBLEEDGE,DOUBLETEAM,DRAGONPULSE,DYNAMICPUNCH,ENDURE,FACADE,FALSESWIPE,FLING,FLIPTURN,FOCUSPUNCH,FRUSTRATION,GYROBALL,HAIL,HEADBUTT,HELPINGHAND,HIDDENPOWER,HYDROPUMP,ICEBEAM,ICEPUNCH,ICYWIND,IRONDEFENSE,IRONTAIL,MEGAKICK,MEGAPUNCH,MIMIC,MUDDYWATER,MUDSLAP,NATURALGIFT,POWERUPPUNCH,PROTECT,RAINDANCE,REST,RETURN,ROCKSMASH,ROCKTOMB,ROLLOUT,ROUND,SCALD,SECRETPOWER,SEISMICTOSS,SLEEPTALK,SNORE,STRENGTH,SUBSTITUTE,SURF,SWAGGER,WATERFALL,WATERPLEDGE,WATERPULSE,WEATHERBALL,WHIRLPOOL,WORKUP,ZENHEADBUTT",45,50,TORRENT,RAINDISH,1.0,22.5,"Its large tail is covered with rich, thick fur that deepens in color with age. The scratches on its shell are evidence of this Pokémon's toughness in battle.",1,"BLASTOISE,Level,36"
Blastoise,WATER,,79,83,100,78,85,105,,"0,FLASHCANNON,1,TACKLE,1,TAILWHIP,1,WATERGUN,1,WITHDRAW,9,RAPIDSPIN,12,BITE,15,WATERPULSE,20,PROTECT,25,RAINDANCE,30,AQUATAIL,35,SHELLSMASH,42,IRONDEFENSE,49,HYDROPUMP,56,SKULLBASH","AQUATAIL,ATTRACT,AURASPHERE,AVALANCHE,BLIZZARD,BODYPRESS,BODYSLAM,BRICKBREAK,BRINE,BULLDOZE,CAPTIVATE,CONFIDE,COUNTER,CRUNCH,DARKPULSE,DEFENSECURL,DIG,DIVE,DOUBLEEDGE,DOUBLETEAM,DRAGONPULSE,DRAGONTAIL,DYNAMICPUNCH,EARTHQUAKE,ENDURE,FACADE,FALSESWIPE,FLASHCANNON,FLING,FLIPTURN,FOCUSBLAST,FOCUSPUNCH,FRUSTRATION,GIGAIMPACT,GYROBALL,HAIL,HEADBUTT,HELPINGHAND,HIDDENPOWER,HYDROCANNON,HYDROPUMP,HYPERBEAM,ICEBEAM,ICEPUNCH,ICYWIND,IRONDEFENSE,IRONTAIL,LIQUIDATION,MEGAKICK,MEGAPUNCH,MIMIC,MUDDYWATER,MUDSLAP,NATURALGIFT,OUTRAGE,POWERUPPUNCH,PROTECT,RAINDANCE,REST,RETURN,ROAR,ROCKCLIMB,ROCKSLIDE,ROCKSMASH,ROCKTOMB,ROLLOUT,ROUND,SCALD,SECRETPOWER,SEISMICTOSS,SIGNALBEAM,SLEEPTALK,SMACKDOWN,SNORE,STRENGTH,SUBSTITUTE,SURF,SWAGGER,TERRAINPULSE,WATERFALL,WATERPLEDGE,WATERPULSE,WEATHERBALL,WHIRLPOOL,WORKUP,ZENHEADBUTT",45,50,TORRENT,RAINDISH,1.6,85.5,The waterspouts that protrude from its shell are highly accurate. Their bullets of water can precisely nail tin cans from a distance of over 160 feet.,1,
Caterpie,BUG,,45,30,35,45,20,20,,"1,TACKLE,1,STRINGSHOT,9,BUGBITE","BUGBITE,ELECTROWEB,STRINGSHOT",255,50,SHIELDDUST,RUNAWAY,0.3,2.9,Its voracious appetite compels it to devour leaves bigger than itself without hesitation. It releases a terribly strong odor from its antennae.,1,"METAPOD,Level,7"
